TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:03:53:829435,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/bus, path: /run/systemd/unit-root/proc/bus, type: <nil>, flags: 20480",0
04:03:53:829506,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/fs, path: /run/systemd/unit-root/proc/fs, type: <nil>, flags: 20480",0
04:03:53:829577,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/irq, path: /run/systemd/unit-root/proc/irq, type: <nil>, flags: 20480",0
04:03:53:830157,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/reg, path: /run/systemd/unit-root/proc/kallsyms, type: <nil>, flags: 20480",0
04:03:53:830825,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/reg, path: /run/systemd/unit-root/proc/kcore, type: <nil>, flags: 20480",0
04:03:53:831482,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/reg, path: /run/systemd/unit-root/proc/kmsg, type: <nil>, flags: 20480",0
04:03:53:831561,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/latency_stats, path: /run/systemd/unit-root/proc/latency_stats, type: <nil>, flags: 20480",0
04:03:53:831612,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/mtrr, path: /run/systemd/unit-root/proc/mtrr, type: <nil>, flags: 20480",0
04:03:53:831681,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/scsi, path: /run/systemd/unit-root/proc/scsi, type: <nil>, flags: 20480",0
04:03:53:831731,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/sys, path: /run/systemd/unit-root/proc/sys, type: <nil>, flags: 20480",0
04:03:53:831776,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/sysrq-trigger, path: /run/systemd/unit-root/proc/sysrq-trigger, type: <nil>, flags: 20480",0
04:03:53:832439,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/root, type: <nil>, flags: 20480",0
04:03:53:833629,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 20480",0
04:03:53:833713,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/propagate/man-db.service, path: /run/systemd/unit-root/run/systemd/incoming, type: <nil>, flags: 4096",0
04:03:53:835833,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 20480",0
04:03:53:836152,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /tmp/systemd-private-37a9fdc6d492436fa28c2004596d210b-man-db.service-x9FCmW/tmp, path: /run/systemd/unit-root/tmp, type: <nil>, flags: 20480",0
04:03:53:836211,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/usr, path: /run/systemd/unit-root/usr, type: <nil>, flags: 20480",0
04:03:53:836786,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/usr/lib/modules, type: <nil>, flags: 20480",0
04:03:53:836846,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /var/tmp/systemd-private-37a9fdc6d492436fa28c2004596d210b-man-db.service-j7pWD1/tmp, path: /run/systemd/unit-root/var/tmp, type: <nil>, flags: 20480",0
04:03:53:837442,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/boot, type: <nil>, flags: 4129",0
04:03:53:837481,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/boot/efi, type: <nil>, flags: 4129",0
04:03:53:838409,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/dev, type: <nil>, flags: 4139",0
04:03:53:840021,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/etc, type: <nil>, flags: 4129",0
04:03:53:841008,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/home, type: <nil>, flags: 4143",0
04:03:53:842002,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/acpi, type: <nil>, flags: 4143",0
